tyoe,region
,
Dairy,Canada - prairies
Wheat/grain,Canada - praries
Eggs,United States
Other,Canada - east coast
Dairy,Canada - praries
Spices,Brazil
Other,United States
,
Wheat/grain,Canada - praries
Dairy,Canada - praries
Meat/fish,Canada - east coast
Fruit,Costa rica
,
Wheat/grain,Canada - praries
Spices,India
Spices,United States
Spices,United States
,
Meat/fish,Canada - east coast
Dairy,Canada - praries
Spices,India
Fruit,United States
Spices,United States
Other,Japan
Spices,United States
Fruit,United States
Spices,India
